name,redshift,absmag,appmag,M-m,distance,velocity
SN2021zft,0.058,-18.7,18.33,37.03,254.68302525850444,17400.0
SN2021zgb,0.06,-19.0,17.75,36.75,223.87211385683378,18000.0
SN2021zgf,0.054,-19.4,17.5,36.9,239.88329190194852,16200.0
SN2021zgk,0.053,-18.4,18.53,36.93,243.22040090738108,15900.0
SN2021zgu,0.068,-18.6,18.78,37.38,299.22646366081955,20400.0
SN2021zhi,0.01023,-16.285,17.0,33.285,45.39416166502023,3069.0
SN2021zho,0.022,-18.8,16.2,35.0,100.0,6600.0
SN2021zj,0.046,-19.6,17.0,36.6,208.9296130854041,13800.0
SN2021zny,0.026602,-19.8695,15.5,35.3695,118.54957462545464,7980.6
SN2021zo,0.03,-17.0,18.72,35.72,139.31568029453035,9000.0
SN2021zom,0.089,-19.5,18.5,38.0,398.10717055349687,26700.0
SN2021zqc,0.028,-18.0,17.5,35.5,125.89254117941661,8400.0
SN2021zri,0.041323,-18.9837,17.35,36.3337,184.81618447362794,12396.9
SN2021zs,0.07,-19.0,18.63,37.629999999999995,335.73761424295446,21000.000000000004
SN2021zsw,0.028917,-19.0519,16.5,35.5519,128.93772405763556,8675.1
SN2021zty,0.065,-18.7,18.62,37.32,291.07171180666086,19500.0
SN2021zu,0.076,-19.6,18.09,37.69,345.1437393358564,22800.0
SN2021zw,0.098,-19.6,18.59,38.19,434.51022417157145,29400.0
SN2021zxq,0.025,-18.1,17.14,35.24,111.68632477805612,7500.0
SN2021zyd,0.025,-16.7,18.51,35.21,110.15393095414146,7500.0
SN2021zys,0.06,-20.0,17.4,37.4,301.9951720402019,18000.0
SN2022aav,0.038,-17.4,18.77,36.17,171.39573075084252,11400.0
SN2022aba,0.053,-19.0,17.89,36.89,238.78112829131783,15900.0
SN2022abq,0.007979,-16.434,16.31,32.744,35.38343568147222,2393.7
SN2022acm,0.05,-20.0,16.73,36.730000000000004,221.81964198002194,15000.0
SN2022ad,0.03,-17.0,18.27,35.269999999999996,113.2400363235553,9000.0
SN2022adr,0.022,-16.1,18.87,34.97,98.627948563121,6600.0
SN2022aey,0.015,-15.8,18.35,34.150000000000006,67.60829753919832,4500.0
SN2022ahb,0.05,-19.0,17.5,36.5,199.52623149688827,15000.0
SN2022aj,0.03,-19.0,16.42,35.42,121.33888504649761,9000.0
SN2022als,0.045,-18.3,18.22,36.519999999999996,201.37242498623812,13500.0
SN2022amb,0.043957,-18.0893,18.38,36.469300000000004,196.72520203555263,13187.1
SN2022an,0.007397,-16.509,16.07,32.579,32.7944234432135,2219.1
SN2022anj,0.069,-19.1,18.41,37.510000000000005,317.68740706497755,20700.0
SN2022anu,0.074,-19.4,18.22,37.62,334.1950400261136,22200.0
SN2022anz,0.023,-17.5,17.59,35.09,104.23174293933057,6900.0
SN2022aod,0.02721,-17.559,17.86,35.419,121.28301928946928,8163.000000000001
SN2022aoe,0.022085,-18.3729,16.59,34.962900000000005,98.30599426559495,6625.5
SN2022aqk,0.06,-19.0,17.8,36.8,229.086765276777,18000.0
SN2022aqm,0.026308,-16.6552,18.69,35.345200000000006,117.2303333703166,7892.400000000001
SN2022aqq,0.02372,-17.429,17.69,35.119,105.63309388106862,7116.0
SN2022aqy,0.061,-18.9,18.3,37.2,275.42287033381746,18300.0
SN2022aqz,0.030353,-18.0679,17.59,35.6579,135.3879461516109,9105.9
SN2022atm,0.036911,-18.9462,17.14,36.086200000000005,164.9073451434334,11073.3
SN2022ba,0.030458,-18.4555,17.21,35.6655,135.86262458274902,9137.4
SN2022baw,0.041333,-18.6343,17.7,36.3343,184.8672581283463,12399.9
SN2022baz,0.03,-17.0,18.8,35.8,144.5439770745928,9000.0
SN2022bbt,0.04,-19.0,17.09,36.09,165.19617982290148,12000.0
SN2022bcc,0.06,-19.0,18.3,37.3,288.40315031266,18000.0
SN2022bcf,0.032679,-20.1195,15.7,35.8195,145.84783945478873,9803.7
SN2022bck,0.026,-17.7,17.6,35.3,114.81536214968793,7800.0
SN2022bdw,0.037817,-18.6694,17.47,36.139399999999995,168.99739100768707,11345.1
SN2022bf,0.020754,-17.2272,17.6,34.827200000000005,92.35065924550344,6226.200000000001
SN2022bid,0.039,-17.7,18.5,36.2,173.78008287493762,11700.0
SN2022big,0.018,-17.0,17.54,34.54,80.90958991783813,5400.0
SN2022bij,0.04893,-17.995,18.71,36.705,219.2804935350445,14679.0
SN2022bji,0.069237,-18.9887,18.48,37.4687,311.70229506479984,20771.100000000002
SN2022bjo,0.084,-19.1,18.8,37.900000000000006,380.1893963205628,25200.0
SN2022bke,0.031739,-17.5556,18.2,35.7556,141.6185032286399,9521.7
SN2022bky,0.0707,-19.17,18.34,37.510000000000005,317.68740706497755,21210.0
SN2022bkz,0.02,-19.0,16.2,35.2,109.64781961431873,6000.0
SN2022bl,0.022866,-17.1388,17.9,35.038799999999995,101.80286491559038,6859.8
SN2022bll,0.024482,-16.438,18.75,35.188,109.04355455436622,7344.6
SN2022blw,0.024981,-19.332,15.9,35.232,111.27561417305206,7494.3
SN2022bme,0.076476,-19.6181,18.07,37.6881,344.84187674226257,22942.8
SN2022bpb,0.070263,-19.1311,18.37,37.5011,316.387997692394,21078.9
SN2022bqi,0.01464,-17.966,16.1,34.066,65.04291550788014,4392.0
SN2022btq,0.05,-19.0,17.47,36.47,196.7886289706847,15000.0
SN2022btu,0.01,-15.0,18.59,33.59,52.23961889991208,3000.0
SN2022cap,0.017859,-17.5993,16.9,34.4993,79.40722148227192,5357.7
SN2022car,0.061,-18.9,18.33,37.23,279.25438412373364,18300.0
SN2022cb,0.035,-18.8,17.17,35.97,156.31476426409506,10500.000000000002
SN2022cba,0.05595,-18.569,18.43,36.998999999999995,251.07299313735132,16785.0
SN2022ccg,0.07,-19.0,18.8,37.8,363.0780547701003,21000.000000000004
SN2022ceh,0.048167,-18.3001,18.37,36.670100000000005,215.7843779242953,14450.1
SN2022cek,0.024455,-16.7055,18.48,35.185500000000005,108.91808576226549,7336.5
SN2022ck,0.04,-19.0,17.2,36.2,173.78008287493762,12000.0
SN2022csn,0.15,-20.9,18.28,39.18,685.488226452662,45000.0
SN2022cvw,0.09,-19.0,18.85,37.85,371.5352290971728,27000.0
SN2022cxa,0.088,-19.1,18.86,37.96,390.8408957924025,26400.0
SN2022dca,0.05,-19.0,17.83,36.83,232.2736796357105,15000.0
SN2022dhv,0.049381,-18.2248,18.5,36.7248,221.28908854367248,14814.300000000001
SN2022dl,0.047037,-18.818,17.8,36.618,210.66869257394188,14111.1
SN2022dma,0.084,-19.4,18.5,37.9,380.18939632056123,25200.0
SN2022dme,0.048914,-18.6139,18.09,36.703900000000004,219.16944102625197,14674.199999999999
SN2022doj,0.077947,-19.0702,18.66,37.730199999999996,351.5928219326796,23384.100000000002
SN2022dok,0.079,-19.2,18.6,37.8,363.0780547701003,23700.0
SN2022dpu,0.063798,-19.2283,18.06,37.2883,286.85339879100746,19139.399999999998
SN2022ds,0.017679,-19.1772,15.3,34.477199999999996,78.60315893691357,5303.7
SN2022dv,0.025,-16.8,18.4,35.2,109.64781961431873,7500.0
SN2022dvj,0.012,-17.7,15.9,33.6,52.480746024977336,3600.0
SN2022dy,0.046283,-18.1925,18.39,36.582499999999996,207.25260595825722,13884.9
SN2022ead,0.028206,-18.0975,17.4,35.4975,125.74768543676616,8461.8
SN2022eaz,0.0607,-19.01,18.17,37.18000000000001,272.8977782808052,18210.0
SN2022eb,0.03251,-18.208,17.6,35.808,145.07747890889115,9753.0
SN2022ec,0.011294,-15.1006,18.4,33.5006,50.13257359115428,3388.2000000000003
SN2022ehu,0.018,-18.0,16.5,34.5,79.43282347242821,5400.0
SN2022eje,0.039404,-18.4195,17.81,36.2295,176.15703831392665,11821.2
SN2022eji,0.017,-17.4,17.04,34.44,77.26805850957021,5100.0
SN2022emj,0.064,-19.1,18.22,37.32,291.07171180666086,19200.0
SN2022eqn,0.032,-19.4,16.4,35.8,144.5439770745928,9600.0
SN2022ery,0.074439,-19.6085,18.02,37.6285,335.50577499889806,22331.7
SN2022esa,0.023,-18.0,17.1,35.1,104.71285480508985,6900.0
SN2022ewz,0.069458,-19.2757,18.2,37.4757,312.70872584931647,20837.4
SN2022eyw,0.008729,-17.44,15.5,32.94,38.725764492161645,2618.7000000000003
SN2022fna,0.027429,-16.5164,18.92,35.436400000000006,122.25876375030174,8228.699999999999
SN2022fw,0.006686,-18.86,13.5,32.36,29.64831389524339,2005.8
SN2022gs,0.035,-18.4,17.6,36.0,158.4893192461111,10500.000000000002
SN2022ih,0.069,-18.9,18.61,37.51,317.6874070649763,20700.0
SN2022jc,0.024775,-17.104,18.11,35.214,110.3570289964014,7432.499999999999
SN2022ji,0.04751,-18.07,18.57,36.64,212.81390459827088,14252.999999999998
SN2022jo,0.02615,-17.912,17.42,35.332,116.51987230249999,7845.0
SN2022mm,0.013369,-16.728,17.14,33.868,59.37450473021954,4010.7000000000003
SN2022mo,0.060404,-19.3779,17.79,37.1679,271.3813509033256,18121.2
SN2022mq,0.076,-19.1,18.56,37.66,340.40818970100094,22800.0
SN2022ov,0.035,-18.3,17.7,36.0,158.4893192461111,10500.000000000002
SN2022ow,0.038587,-17.3835,18.8,36.1835,172.46461370742554,11576.1
SN2022pr,0.068548,-19.1666,18.28,37.446600000000004,308.54605642446853,20564.399999999998
SN2022qh,0.02,-19.0,16.11,35.11,105.19618738232234,6000.0
SN2022re,0.047479,-19.4985,17.14,36.6385,212.66694872358283,14243.7
SN2022rp,0.02,-17.0,17.58,34.58,82.41381150130013,6000.0
SN2022S,0.027252,-16.8922,18.53,35.422200000000004,121.46188030900977,8175.599999999999
SN2022sr,0.042,-18.4,17.96,36.36,187.06821403658014,12600.0
SN2022wr,0.08,-19.0,18.55,37.55,323.5936569296281,24000.0
SN2022yy,0.05,-18.0,18.3,36.3,181.97008586099824,15000.0
SN2022Z,0.029837,-16.9604,18.66,35.620400000000004,133.0699519312848,8951.1
